title,popular_rank,startYear,runtime,type,origin_country,language,rating,US_country,English_language
Beyond a Reasonable Doubt,2188,2009,106,movie,United States,English,5.9,TRUE,TRUE
The Human Centipede II (Full Sequence),1029,2011,91,movie,Netherlands,English,3.8,FALSE,TRUE
Furie,1312,2019,97,movie,France,French,5.6,FALSE,FALSE
Secret Agent Selection: WW2,3993,2018,60,tvMiniSeries,United Kingdom,English,7.7,FALSE,TRUE
Kipper,3372,1997,47,tvSeries,United Kingdom,English,7.1,FALSE,TRUE
Baires,5473,2015,82,movie,Argentina,Spanish,4.1,FALSE,FALSE
Tenured,5043,2015,80,movie,United States,English,6,TRUE,TRUE
The Golem,2656,2018,95,movie,Israel,English,5.6,FALSE,TRUE
 Penny Dreadful,10479,2014,52,tvEpisode,Canada,English,8.1,FALSE,TRUE
Precious Cargo,2055,2016,90,movie,Canada,English,4.6,FALSE,TRUE
Ala Vaikunthapurramuloo,1641,2020,163,movie,India,Telugu,7.3,FALSE,FALSE
Kari-gurashi no Arietti,983,2010,94,movie,Japan,Japanese,7.6,FALSE,FALSE
Afonso Padilha: Alma de Pobre,5679,2020,63,tvSpecial,Brazil,Portuguese,6.7,FALSE,FALSE
Mark Felt: The Man Who Brought Down the White House,1730,2017,103,movie,United States,English,6.4,TRUE,TRUE
Gumrah,3746,1993,149,movie,India,Hindi,6.2,FALSE,FALSE
The Investigator: A British Crime Story,2609,2016,47,tvSeries,United Kingdom,English,5.7,FALSE,TRUE
Cateva conversatii despre o fata foarte inalta,3889,2018,70,movie,Romania,Romanian,5.9,FALSE,FALSE
Suburbicon,1070,2017,105,movie,United Kingdom,English,5.7,FALSE,TRUE
Article 15,1281,2019,130,movie,India,Hindi,8.2,FALSE,FALSE
Boku dake ga inai machi,1938,2017,30,tvSeries,Japan,Japanese,7.9,FALSE,FALSE
The Land of Steady Habits,991,2018,98,movie,United States,English,6.2,TRUE,TRUE
Paradise Beach,2386,2019,93,movie,France,French,4.5,FALSE,FALSE
Shaft,709,2019,111,movie,United States,English,6.4,TRUE,TRUE
There's Something in the Water,3705,2019,73,movie,Canada,English,6.6,FALSE,TRUE
El silencio de la ciudad blanca,1195,2019,110,movie,Spain,Spanish,5.2,FALSE,FALSE
I Called Him Morgan,4008,2016,92,movie,Sweden,English,7.3,FALSE,TRUE
The Improv: 50 Years Behind the Brick Wall,5942,2013,60,tvSpecial,United States,English,7,TRUE,TRUE
Murder to Mercy: The Cyntoia Brown Story,3283,2020,96,movie,United States,English,6.4,TRUE,TRUE
The CEO,5374,2016,105,movie,Nigeria,English,6.2,FALSE,TRUE
Being Napoleon,4293,2018,88,movie,United States,English,5.3,TRUE,TRUE
Dead & Nowhere,6041,2008,90,movie,United States,English,2.7,TRUE,TRUE
Greg Davies: You Magnificent Beast,4487,2018,66,tvSpecial,United Kingdom,English,7.2,FALSE,TRUE
Steve Byrne: Champion,6044,2014,70,tvSpecial,United States,English,7,TRUE,TRUE
Trollhunters: Happy Birthday to You!,5463,2017,1,tvSpecial,United States,English,5.2,TRUE,TRUE
Power Rangers Ninja Steel,1723,2017,21,tvSeries,United States,English,6,TRUE,TRUE
The Perfection,817,2018,90,movie,United States,English,6.1,TRUE,TRUE
Blockbuster,4977,2018,85,movie,France,French,5.5,FALSE,FALSE
The Devil All the Time,125,2020,138,movie,United States,English,7.1,TRUE,TRUE
Comment je suis devenu super-héros,3794,2020,97,movie,France,French,7.1,FALSE,FALSE
Nevenka,4244,2021,114,tvMiniSeries,Spain,Spanish,7,FALSE,FALSE
Shadow Trade,6161,2016,50,movie,United Kingdom,English,7.8,FALSE,TRUE
 The Order,6509,2020,47,tvEpisode,United States,English,7.3,TRUE,TRUE
Toradora!,1352,2008,24,tvSeries,Japan,Japanese,8,FALSE,FALSE
Springsteen on Broadway,4691,2018,153,tvMovie,United States,English,8.5,TRUE,TRUE
A New York Christmas Wedding,3001,2020,88,movie,United States,English,5.4,TRUE,TRUE
The Gruffalo,2399,2009,27,tvMovie,United Kingdom,English,7.5,FALSE,TRUE
 Jeffrey Epstein: Filthy Rich,8246,2020,57,tvEpisode,United States,English,7.4,TRUE,TRUE
Dongbaekkkot Pil Muryeop,2034,2019,30,tvSeries,South Korea,Korean,8,FALSE,FALSE
Fatal Affair,1739,2020,89,movie,United States,English,4.5,TRUE,TRUE
The Experiment,6110,2011,89,movie,United States,English,6.8,TRUE,TRUE
Betaal,1864,2020,46,tvSeries,India,Hindi,5.4,FALSE,FALSE
Chasing Coral,3077,2017,93,movie,United States,English,8.1,TRUE,TRUE
Zbrodnia,2458,2014,60,tvSeries,Poland,Polish,6.2,FALSE,FALSE
Life of Ryan: Caretaker Manager,5389,2014,81,tvMovie,United Kingdom,English,7.3,FALSE,TRUE
Fainaru fantajî XIV: Hikari no otousan,4796,2017,24,tvMiniSeries,Japan,Japanese,7,FALSE,FALSE
Cuckoo,700,2012,30,tvSeries,United Kingdom,English,7.2,FALSE,TRUE
Noura Rêve,4545,2019,92,movie,Tunisia,Arabic,6.5,FALSE,FALSE
Enrico Piaggio: Vespa,1656,2019,102,tvMovie,Italy,Italian,6.9,FALSE,FALSE
The Nice Guys,213,2016,116,movie,United States,English,7.4,TRUE,TRUE
"Mis Peores Amigos: Promedio Rojo, El Regreso",5967,2013,88,movie,Chile,Spanish,3.8,FALSE,FALSE
Irreplaceable You,1610,2018,96,movie,United States,English,6.4,TRUE,TRUE
Southpaw,600,2015,124,movie,Hong Kong,English,7.4,FALSE,TRUE
Wildflower,3642,2014,92,movie,United States,English,5.2,TRUE,TRUE
 The Get Down,11532,2016,93,tvEpisode,United States,English,8.5,TRUE,TRUE
Annihilation,318,2018,115,movie,United Kingdom,English,6.8,FALSE,TRUE
Tiny House Nation,2709,2014,43,tvSeries,United States,English,7.2,TRUE,TRUE
Aziz Ansari: Right Now,2997,2019,65,tvSpecial,United States,English,7.5,TRUE,TRUE
Son,3074,2012,90,tvSeries,Turkey,Turkish,7.4,FALSE,FALSE
Apenas o Fim,5656,2008,80,movie,Brazil,Portuguese,6.9,FALSE,FALSE
The Windsors,1450,2016,30,tvSeries,United Kingdom,English,7.1,FALSE,TRUE
The Princess Switch: Switched Again,1558,2020,96,movie,United States,English,5.4,TRUE,TRUE
Love Island Australia,2309,2018,50,tvSeries,Australia,English,5.4,FALSE,TRUE
Derren Brown: Sacrifice,4657,2018,49,tvSpecial,United Kingdom,English,7.1,FALSE,TRUE
Ultimate Beastmaster,2343,2017,55,tvSeries,United States,English,7.3,TRUE,TRUE
The English Game,1026,2020,281,tvMiniSeries,United Kingdom,English,7.6,FALSE,TRUE
Behind Her Eyes,163,2021,298,tvMiniSeries,United Kingdom,English,7.2,FALSE,TRUE
